"date","coronavirus_hits","state"
2020-04-30,17,"Tennessee"
2020-05-01,16,"Tennessee"
2020-05-02,17,"Tennessee"
2020-05-03,17,"Tennessee"
2020-05-04,16,"Tennessee"
2020-05-05,15,"Tennessee"
2020-05-06,15,"Tennessee"
2020-05-07,15,"Tennessee"
2020-05-08,13,"Tennessee"
2020-05-09,13,"Tennessee"
2020-05-10,13,"Tennessee"
2020-05-11,14,"Tennessee"
2020-05-12,15,"Tennessee"
2020-05-13,15,"Tennessee"
2020-05-14,13,"Tennessee"
2020-05-15,12,"Tennessee"
2020-05-16,12,"Tennessee"
2020-02-18,4,"South Dakota"
2020-02-19,4,"South Dakota"
2020-02-20,5,"South Dakota"
2020-02-21,3,"South Dakota"
2020-02-22,4,"South Dakota"
2020-02-23,4,"South Dakota"
2020-02-24,6,"South Dakota"
2020-02-25,8,"South Dakota"
2020-02-26,14,"South Dakota"
2020-02-27,19,"South Dakota"
2020-02-28,17,"South Dakota"
2020-02-29,17,"South Dakota"
2020-03-01,13,"South Dakota"
2020-03-02,21,"South Dakota"
2020-03-03,21,"South Dakota"
2020-03-04,17,"South Dakota"
2020-03-05,21,"South Dakota"
2020-03-06,24,"South Dakota"
2020-03-07,27,"South Dakota"
2020-03-08,22,"South Dakota"
2020-03-09,36,"South Dakota"
2020-03-10,56,"South Dakota"
2020-03-11,86,"South Dakota"
2020-03-12,98,"South Dakota"
2020-03-13,89,"South Dakota"
2020-03-14,79,"South Dakota"
2020-03-15,100,"South Dakota"
2020-03-16,96,"South Dakota"
2020-03-17,85,"South Dakota"
2020-03-18,83,"South Dakota"
2020-03-19,80,"South Dakota"
2020-03-20,73,"South Dakota"
2020-03-21,82,"South Dakota"
2020-03-22,76,"South Dakota"
2020-03-23,76,"South Dakota"
2020-03-24,73,"South Dakota"
2020-03-25,71,"South Dakota"
2020-03-26,65,"South Dakota"
2020-03-27,64,"South Dakota"
2020-03-28,63,"South Dakota"
2020-03-29,61,"South Dakota"
2020-03-30,60,"South Dakota"
2020-03-31,47,"South Dakota"
2020-04-01,55,"South Dakota"
2020-04-02,50,"South Dakota"
2020-04-03,63,"South Dakota"
2020-04-04,71,"South Dakota"
2020-04-05,66,"South Dakota"
2020-04-06,68,"South Dakota"
2020-04-07,73,"South Dakota"
2020-04-08,59,"South Dakota"
2020-04-09,59,"South Dakota"
